book_id,position,token_length,char_length,genre,author,title,source_file
f1b17fa5-7b91-4294-8f25-8430eac7b6f2,3780,1122,1741,,"Судебный процесс над социалистами-революционерами (июнь-август 1922 г.) Подготовка. Проведение. Итоги. Сборник документов Сост. С.А. Красильников. К.Н. Морозов, И.В. Чубыкин.","М. РОССПЭН, 2002. — 1007 с. (Серия Архивы Кремля).",f1b17fa5-7b91-4294-8f25-8430eac7b6f2.jsonl
f1b17fa5-7b91-4294-8f25-8430eac7b6f2,5283,603,1234,,"Судебный процесс над социалистами-революционерами (июнь-август 1922 г.) Подготовка. Проведение. Итоги. Сборник документов Сост. С.А. Красильников. К.Н. Морозов, И.В. Чубыкин.","М. РОССПЭН, 2002. — 1007 с. (Серия Архивы Кремля).",f1b17fa5-7b91-4294-8f25-8430eac7b6f2.jsonl
f1b17fa5-7b91-4294-8f25-8430eac7b6f2,12930,529,1065,,"Судебный процесс над социалистами-революционерами (июнь-август 1922 г.) Подготовка. Проведение. Итоги. Сборник документов Сост. С.А. Красильников. К.Н. Морозов, И.В. Чубыкин.","М. РОССПЭН, 2002. — 1007 с. (Серия Архивы Кремля).",f1b17fa5-7b91-4294-8f25-8430eac7b6f2.jsonl
35256cca-a4ba-4d3e-86bc-4594a41bd156,18059,566,1641,,Unknown,Военная энциклопедия под ред. В. Ф. Новицкого и др. 1911—1915. Том 16,35256cca-a4ba-4d3e-86bc-4594a41bd156.jsonl
b68b6452-735e-4b99-b051-1a5b73b2091c,1023,707,999,,Unknown,"Жерве Б.Б. Десантная операция. Оперативно-тактический очерк, 1931",b68b6452-735e-4b99-b051-1a5b73b2091c.jsonl
904ed3f8-1f88-41f7-8d3a-aa0ed11733ed,26371,691,2832,,Бобровский П.О. История 13-го Лейб-Гренадерского Эриванского Его Величества полка за 250 лет,"Часть 3, 1893",904ed3f8-1f88-41f7-8d3a-aa0ed11733ed.jsonl
904ed3f8-1f88-41f7-8d3a-aa0ed11733ed,27399,691,2749,,Бобровский П.О. История 13-го Лейб-Гренадерского Эриванского Его Величества полка за 250 лет,"Часть 3, 1893",904ed3f8-1f88-41f7-8d3a-aa0ed11733ed.jsonl
904ed3f8-1f88-41f7-8d3a-aa0ed11733ed,30683,649,2360,,Бобровский П.О. История 13-го Лейб-Гренадерского Эриванского Его Величества полка за 250 лет,"Часть 3, 1893",904ed3f8-1f88-41f7-8d3a-aa0ed11733ed.jsonl
c0001438-1702-44e8-b353-d5105288ed60,17783,1120,5400,,Великая Отечественная война. 1941-1945. Военно-исторические очерки. Книга третья. Освобождение.,"М. Наука, 1999",c0001438-1702-44e8-b353-d5105288ed60.jsonl
3f58ef39-5216-414a-a223-1eb2e95d97f0,45167,514,1460,,Unknown,История Русской Америки (1732-1867),3f58ef39-5216-414a-a223-1eb2e95d97f0.jsonl
3f58ef39-5216-414a-a223-1eb2e95d97f0,90859,514,1460,,Unknown,История Русской Америки (1732-1867),3f58ef39-5216-414a-a223-1eb2e95d97f0.jsonl
f1ea3a47-81a6-4b7d-aec3-c42cfbcd072d,9052,516,1557,,Unknown,"Полищук В.В. Горькая правда. Преступность ОУН-УПА (исповедь украинца), 2011",f1ea3a47-81a6-4b7d-aec3-c42cfbcd072d.jsonl
f1ea3a47-81a6-4b7d-aec3-c42cfbcd072d,9057,532,1497,,Unknown,"Полищук В.В. Горькая правда. Преступность ОУН-УПА (исповедь украинца), 2011",f1ea3a47-81a6-4b7d-aec3-c42cfbcd072d.jsonl
bc6f720c-a7ae-4956-96b9-632f4a6eb108,4978,637,1334,,Unknown,Грылев А.Н. Днепр - Карпаты - Крым,bc6f720c-a7ae-4956-96b9-632f4a6eb108.jsonl
bc6f720c-a7ae-4956-96b9-632f4a6eb108,4986,573,1209,,Unknown,Грылев А.Н. Днепр - Карпаты - Крым,bc6f720c-a7ae-4956-96b9-632f4a6eb108.jsonl
bc6f720c-a7ae-4956-96b9-632f4a6eb108,4988,2736,5782,,Unknown,Грылев А.Н. Днепр - Карпаты - Крым,bc6f720c-a7ae-4956-96b9-632f4a6eb108.jsonl
